aX,aY,aZ,gX,gY,gZ
-0.078,-0.685,1.772,145.813,5.005,0.061
-0.069,-0.706,1.822,177.185,-12.756,-3.296
-0.125,-0.809,2.091,189.392,-26.184,-4.883
-0.173,-0.875,2.299,246.582,-57.434,0.061
-0.291,-0.937,2.293,296.448,-53.406,12.207
-0.307,-0.92,2.083,362.976,-1.16,60.12
-0.169,-0.74,1.585,374.145,18.616,81.36
-0.076,-0.604,1.341,360.352,35.034,93.811
0.024,-0.393,1.055,333.862,41.87,89.661
0.035,-0.292,1.035,308.899,46.265,84.778
0.037,-0.176,1.004,309.509,42.48,80.261
0.037,0.075,0.743,323.669,43.823,82.153
0.036,0.151,0.56,326.782,64.026,84.106
0.004,0.212,0.223,315.857,74.097,84.106
-0.028,0.213,0.035,285.95,104.675,88.623
-0.071,0.147,-0.322,267.639,128.906,91.736
-0.044,0.14,-0.491,255.859,145.203,92.285
0.104,0.233,-1.074,255.432,116.455,74.951
0.106,0.309,-1.448,252.319,80.566,56.396
0.037,0.382,-1.845,212.036,54.871,39.063
-0.211,0.441,-2.489,163.94,73.181,52.185
-0.217,0.361,-2.621,29.297,99.06,95.093
0.176,0.037,-2.129,-35.156,82.764,89.355
0.358,-0.171,-1.586,-130.737,-2.075,16.113
0.429,-0.606,-0.587,-153.564,-48.218,-24.536
0.384,-0.782,-0.254,-147.888,-100.891,-70.496
0.241,-0.963,-0.02,-129.7,-103.638,-75.684
0.158,-0.975,-0.064,-102.722,-62.256,-55.664
0.082,-0.908,-0.193,-97.717,-26.855,-35.217
0.112,-0.865,-0.246,-94.91,27.771,2.258
0.205,-0.778,-0.314,-98.083,32.166,9.155
0.219,-0.751,-0.316,-104.492,23.499,6.348
0.211,-0.743,-0.285,-119.141,-7.935,-13.367
0.166,-0.748,-0.16,-122.314,-22.827,-21.301
0.152,-0.746,-0.11,-118.469,-39.001,-25.146
0.15,-0.74,-0.084,-118.225,-37.659,-23.071
0.154,-0.733,-0.086,-134.705,-17.883,-13.55
0.201,-0.712,-0.055,-148.682,-6.287,-9.216
0.219,-0.716,0,-173.889,-1.892,-10.01
0.219,-0.734,0.178,-177.612,-9.277,-13.55
0.21,-0.744,0.245,-168.091,-25.146,-20.813
