aX,aY,aZ,gX,gY,gZ
1.059,0.58,-1.282,-19.043,-76.904,6.836
0.998,0.695,-1.699,-31.311,-110.657,1.831
0.828,0.82,-2.541,-47.058,-160.461,-8.972
0.72,0.829,-2.823,-69.641,-328.979,-35.339
0.384,0.867,-2.683,-53.711,-429.443,-49.744
0.129,0.891,-2.25,22.949,-580.2,-88.013
-0.522,0.702,-1.299,44.678,-612.915,-108.704
-0.996,0.433,-0.88,27.588,-651.977,-129.456
-2.241,-0.354,0.18,24.109,-671.448,-125.854
-2.957,-0.744,0.676,54.138,-664.978,-74.28
-4,-1.085,1.755,58.105,-635.803,-27.405
-4,-0.839,2.445,23.682,-561.34,-46.814
-3.761,-0.408,3.298,47.852,-476.44,-119.202
-3.251,-0.603,3.53,45.471,-294.861,-171.082
-1.346,-1.813,3.565,-8.85,-216.797,-161.255
-0.831,-2.085,3.346,-77.576,-38.818,-30.762
-0.804,-1.088,2.561,-44.8,57.007,51.025
-0.984,-0.297,2.056,4.028,145.935,103.821
-1.264,0.525,1.033,-7.324,224.06,114.441
-1.249,0.488,0.779,-49.866,200.684,89.416
-1.182,0.354,0.792,-72.632,118.835,36.011
-1.119,0.165,1.222,-54.626,100.525,18.127
-1.113,0.083,1.411,-31.372,128.479,5.005
-1.137,-0.158,1.516,-26.611,163.452,8.972
-1.165,-0.278,1.483,-9.338,238.953,27.71
-1.121,-0.31,1.475,-5.31,267.7,36.926
-1.034,-0.264,1.486,-32.959,310.242,44.067
-0.757,-0.179,1.35,-47.302,328.186,43.945
-0.59,-0.123,1.203,-28.198,356.506,40.833
-0.279,0.003,0.909,7.019,367.004,33.508
-0.153,0.013,0.785,79.895,379.944,6.897
0.137,0.012,0.512,93.14,380.249,2.991
0.261,0.045,0.364,53.711,369.751,25.94
0.354,0.115,0.051,22.949,360.474,37.17
0.394,0.127,-0.097,2.258,344.788,43.457
0.476,0.134,-0.21,10.681,292.786,45.105
0.764,0.235,-0.32,26.367,269.226,42.786
0.853,0.258,-0.326,7.019,238.342,36.499
0.91,0.259,-0.426,-10.315,216.553,35.583
0.997,0.247,-0.6,20.874,173.645,24.048
1.006,0.289,-0.605,55.786,153.32,20.081
1.017,0.367,-0.559,76.355,109.253,24.292
1.018,0.485,-0.381,57.068,90.637,28.137
1.022,0.494,-0.298,8.911,65.613,24.536
1.042,0.428,-0.202,-6.287,58.594,15.503
1.04,0.363,-0.178,-12.939,46.936,-6.714
1.026,0.193,-0.126,-12.756,41.26,-15.32
1,0.107,-0.094,-19.043,31.433,-17.09
0.958,-0.016,-0.044,-24.292,27.039,-11.902
0.959,-0.04,-0.014,-23.437,16.663,-2.258
0.97,-0.034,0.062,-20.569,14.282,0.427
0.98,0.001,0.098,-13.428,15.625,2.686
0.993,0.092,0.149,-7.568,17.09,1.404
0.996,0.111,0.169,-2.441,16.296,-1.465
0.991,0.109,0.173,-1.099,9.216,-5.066
0.974,0.103,0.152,-6.287,-0.061,-4.578
0.985,0.084,0.169,-7.446,-5.371,-6.714
0.995,0.052,0.203,-7.141,-11.536,-12.878
1.002,-0.032,0.268,-8.179,-10.254,-11.841
0.99,-0.051,0.279,-9.766,-6.775,-7.507
0.955,-0.04,0.271,-9.521,2.197,-0.183
0.943,-0.038,0.251,-7.202,6.409,0
0.938,-0.037,0.224,0.916,10.62,-1.16
0.942,-0.004,0.185,4.028,8.484,-1.892
0.956,0.008,0.188,2.502,-5.554,-5.432
0.992,-0.004,0.244,-0.122,-12.451,-6.531
1,-0.012,0.281,-3.296,-14.465,-4.15
1.002,-0.014,0.33,-3.052,-9.888,-2.075
1.003,-0.013,0.33,-0.488,0.427,0.732
1.008,-0.011,0.301,0.793,2.563,1.343
1.008,-0.006,0.285,2.075,1.648,1.77
0.997,0.012,0.266,1.343,0.61,1.343
0.99,0.02,0.264,-1.16,1.038,0.122
0.982,0.026,0.27,-2.441,2.93,-0.244
0.979,0.028,0.268,-3.845,9.216,0.732
0.971,0.036,0.246,-2.563,12.512,1.282
0.968,0.044,0.223,0,14.648,0.854
0.967,0.049,0.204,3.235,11.292,-2.38
0.967,0.034,0.199,1.465,7.019,-4.028
0.963,0.018,0.212,-3.845,-0.854,-4.944
0.959,-0.004,0.235,-4.089,-3.174,-4.822
0.964,-0.007,0.247,-1.221,-3.662,-4.517
0.971,-0.008,0.266,-1.343,-1.709,-3.54
0.971,-0.011,0.255,-3.235,2.991,-0.305
0.972,-0.014,0.231,-2.808,3.54,0.305
0.974,-0.012,0.229,-1.953,2.747,0.427
0.98,-0.004,0.237,-2.197,-0.366,1.343
0.984,-0.001,0.243,-2.869,-1.892,1.709
0.987,0.004,0.252,-2.563,-3.784,1.465
0.994,0.015,0.282,-1.953,-3.174,1.221
0.994,0.017,0.294,-1.221,2.686,0.305
0.984,0.008,0.272,-0.977,6.165,-0.183
0.981,0.004,0.241,1.16,9.094,-0.793
0.972,0.013,0.198,2.197,7.996,-1.099
0.97,0.017,0.196,0.183,3.418,-1.038
0.969,0.012,0.208,-1.648,1.465,-0.366
0.972,0.01,0.22,-3.296,0.305,1.16
0.977,0.014,0.231,-3.357,1.038,1.648
0.977,0.021,0.228,-2.747,2.136,2.014
0.98,0.031,0.24,-2.625,2.197,1.404
0.982,0.025,0.25,-2.563,2.686,0.305
0.979,0.003,0.235,-1.099,5.31,-1.526
0.977,0,0.224,-0.122,5.676,-1.831
0.975,0.003,0.218,0.061,2.991,-1.709
0.969,0.002,0.216,-0.671,1.709,-1.404
0.968,-0.004,0.214,-2.319,0.549,-0.244
0.967,-0.001,0.206,-1.831,0.427,0.427
0.97,0.005,0.21,-0.854,-0.732,1.343
0.98,0.013,0.229,-1.587,-1.221,1.831
0.98,0.012,0.234,-1.892,-0.122,1.709
0.98,0.012,0.233,-0.916,0.671,1.221
0.981,0.015,0.227,0.732,0.305,-0.305
0.984,0.015,0.227,0.977,-0.732,-1.221
0.983,0.012,0.237,0.427,-1.526,-1.831
0.983,0.005,0.243,-1.892,-0.427,-1.282
0.978,-0.009,0.237,-1.953,0.916,-0.61
0.98,-0.007,0.229,0.732,2.075,0.671
0.986,0.013,0.23,1.282,1.526,0.916
0.984,0.018,0.238,-0.183,1.77,0.61
1.139,0.386,-1.12,-19.47,-100.952,-8.423
1.139,0.395,-1.268,-9.033,-126.282,-6.836
1.136,0.546,-1.729,-11.536,-143.677,-2.502
1.13,0.678,-2.007,-10.986,-202.576,4.761
0.988,1.042,-2.534,-1.892,-250.549,0
0.814,1.196,-2.672,-0.61,-398.56,-49.194
0.132,1.222,-2.439,-21.362,-495.178,-86.548
-0.441,1.009,-2.025,-54.26,-681.091,-146.667
-1.971,0.076,-0.689,-42.969,-742.493,-153.137
-2.987,-0.518,0.146,53.955,-757.263,-82.642
-4,-1.238,1.721,108.582,-713.074,-9.216
-4,-1.179,2.383,77.515,-601.44,19.897
-3.975,-0.896,3.044,52.612,-519.104,-75.378
-3.722,-0.962,3.352,42.725,-386.658,-179.26
-1.652,-1.347,3.912,1.953,-334.045,-167.297
-0.538,-1.752,3.865,-42.664,-244.507,-146.423
-0.414,-1.642,2.512,-83.374,36.56,-33.142
-0.902,-0.956,1.77,-34.973,164.917,44.983
-1.418,0.479,0.934,51.88,263.672,128.113
-1.415,0.764,0.763,32.349,245.728,120.605
-1.301,0.72,0.689,-36.621,181.335,51.147
-1.088,0.201,0.716,-47.546,158.142,21.973
-0.997,-0.008,0.83,-15.076,126.343,3.235
-0.82,-0.12,1.248,8.606,126.404,9.338
